99995	61985
C(-C,-H,-S,-S)	1	3
P(-C,-C,-Cl,=O)	0	1
N(-C,-C,-P)	13	39
Si(-C,-C,-C,-F)	0	2
C(-N,-S,-S)	1	1
C(#C,-S)	2	2
S(-N,-N,=N)	0	1
C(-C,-C,=S)	7	21
N(-C,-Cl,-S)	0	1
P(-C,-C,-C,=N)	1	2
N(-C,=Si)	0	1
N(-C,-C,-O)	204	183
Si(-C,-C,-C)	0	10
C(-Cl,-Cl,-F,-S)	1	1
P(-N,-O,-O,=O)	12	14
C(-C,-Si,=C)	31	99
S(-N,-S,=S)	0	1
C(-C,-C,-C,-Si)	66	187
P(-C,-C,-C,=O)	16	19
N(-N,=C)	9805	5891
C(-C,-C,=Si)	0	5
C(-C,-F,-N,-O)	0	1
C(-F,-N,=O)	0	2
S(-O,-O,=O,=O)	9	24
C(-Br,-C,-C,-S)	0	1
C(-B,-S)	0	1
Si(=O,=Si)	0	1
C(-N,-Si)	2	4
C(-C,-C,-C,-S)	249	208
P(-O,-O,-O,=S)	2	2
Si(-N,=C)	0	1
C(#C,-O)	5	4
C(-C,-I,-N)	4	2
N(-B,=P)	1	0
C(-F,-N,=N)	3	2
N(-C,=S)	10	9
C(-Br,-H,=C)	4	3
B(-C,-C)	0	2
C(#C,-P)	0	1
C(-S)	1682	1332
P(-C,=O)	1	6
C(-O)	11627	7492
Si(-O)	1	12
O(-C,-N)	2391	1323
C(-C,-S,=N)	2427	1386
P(-Cl,-Cl,-O,=O)	1	2
C(-S,-S)	9	6
Si(-O,-O,-O,-O)	2	3
C(-P)	14	15
N(-Si,-Si,-Si)	0	2
Si(-N)	0	5
C(-C,-S,=O)	55	44
O(-C,-O)	37	59
P(-N,-P)	0	1
C(-C,-Cl,-N,-O)	1	0
N(-C,-C,-S)	2835	2124
B(-B,-Si)	0	1
N(-O,=C)	2246	1260
C(-H,-O,=C)	29	31
C(-C,-F,-O,-O)	0	1
S(-O,-O,=O,=S)	1	0
C(-C,-P,=C)	39	100
N(-S,=N)	92	50
O(-C,-P)	99	280
Si(-C,-N,=C)	0	1
C(-H,-P,=C)	2	4
N(-Cl,-S)	0	1
C(-C,-Cl,-N,-N)	0	1
C(=C,=N)	0	3
S(-I,-N)	0	2
S(-C,-C,=C)	0	4
C(-F,-F,-O)	252	124
C(-C,-H,-H)	0	1
S(-C,-C,=C,=O)	0	1
P(-B,-H,-S)	0	1
C(-N)	10609	5851
P(-O,-O,-O,=O)	22	117
C(=C,=O)	2	4
S(-N,-O,=O,=O)	13	15
C(-F,=C)	0	2
C(-F,-F,-N)	32	14
O(-B,-N)	0	1
S(-C,-C,=C,=N)	0	1
P(-C,-N,-N,=N)	0	3
C(-C,-Cl,=O)	29	33
C(-Br,=C)	0	1
C(-N,-P,=N)	1	2
S(-N,-S)	1	3
C(-F,=N)	0	1
C(-C,-S,=S)	2	7
C(-Cl,-N,=C)	409	217
Si(-C,-C,-N,-O)	0	3
C(-C,-C,-O,-P)	0	5
P(-O,-O)	2	0
P(-N,-N,-O,=N)	1	0
C(-F,-F,-P,-P)	0	1
P(-C,-N,-O,=S)	1	0
P(-C)	4	5
N(-C,-N,-Si)	0	4
C(-N,-S)	69	39
C(-F,-N,=C)	51	33
C(-S,-S,=S)	2	3
N(-P,=C)	1	4
O(-C,-C)	31394	19944
Si(-C,-C,-N,-N)	0	2
C(-I,-N,=N)	3	4
C(-C,-C,-O,-O)	209	292
B(-C,-O,-O)	78	116
N(-P,-Si,-Si)	0	1
I(-C,=O)	0	1
S(-C,-N,=O)	21	36
S(-C,-O,-O,-O)	0	4
S(-C,-C,-F,-F)	0	1
C(-C,-Si,=O)	0	3
C(-C,-S,=P)	0	1
Cl(-C)	10013	6971
C(-N,-N,-N,-O)	2	0
Si(=C,=C)	0	1
B(-C,-N,-N)	4	0
C(-C,-C,-O,-Si)	2	8
C(-C,-C,-H,-Si)	1	11
C(-C,-O,-Si)	2	2
Si(-C,-Cl,-Cl)	0	1
O(-Cl,-N)	0	1
C(-Br,-F,=C)	1	0
C(-C,-O,=B)	0	1
N(-S,=S)	1	1
P(-C,-F,-O,=O)	0	1
O(-F,-P)	1	0
C(=S,=S)	0	1
C(-Cl,-O)	1	4
C(-C,-Si,=N)	1	1
S(-S)	1	4
P(-C,-C,-C,-Cl,-Cl)	0	1
C(-N,-N,-N,-N)	0	1
P(-N,-N)	0	1
C(-B,-C,-C,-H)	1	0
P(-C,-C,-N)	3	2
P(-N,-N,-O,=O)	0	4
C(-O,-Si,=C)	3	1
N(-C,-C,-Cl)	6	9
C(-C,-O,=C)	20932	13290
